disaster_id,disaster_state,disaster_county,disaster_state_code,disaster_county_code,disaster_declaration,disaster_name,disaster_type,disaster_date,disaster_fips_code
DR-387-FL,FL,Nassau (County),12,089,DR,SEVERE STORMS & FLOODING,Flood,1973-05-26T04:00:00.000Z,12089
DR-387-FL,FL,Wakulla (County),12,129,DR,SEVERE STORMS & FLOODING,Flood,1973-05-26T04:00:00.000Z,12129
DR-387-FL,FL,Leon (County),12,073,DR,SEVERE STORMS & FLOODING,Flood,1973-05-26T04:00:00.000Z,12073
DR-387-FL,FL,Columbia (County),12,023,DR,SEVERE STORMS & FLOODING,Flood,1973-05-26T04:00:00.000Z,12023
DR-387-FL,FL,Hamilton (County),12,047,DR,SEVERE STORMS & FLOODING,Flood,1973-05-26T04:00:00.000Z,12047
DR-387-FL,FL,Madison (County),12,079,DR,SEVERE STORMS & FLOODING,Flood,1973-05-26T04:00:00.000Z,12079
DR-387-FL,FL,Suwannee (County),12,121,DR,SEVERE STORMS & FLOODING,Flood,1973-05-26T04:00:00.000Z,12121
DR-387-FL,FL,Levy (County),12,075,DR,SEVERE STORMS & FLOODING,Flood,1973-05-26T04:00:00.000Z,12075
DR-387-FL,FL,Baker (County),12,003,DR,SEVERE STORMS & FLOODING,Flood,1973-05-26T04:00:00.000Z,12003
DR-387-FL,FL,Gilchrist (County),12,041,DR,SEVERE STORMS & FLOODING,Flood,1973-05-26T04:00:00.000Z,12041
DR-387-FL,FL,Lafayette (County),12,067,DR,SEVERE STORMS & FLOODING,Flood,1973-05-26T04:00:00.000Z,12067
DR-479-FL,FL,Wakulla (County),12,129,DR,FLOODING,Flood,1975-08-22T04:00:00.000Z,12129
DR-479-FL,FL,Washington (County),12,133,DR,FLOODING,Flood,1975-08-22T04:00:00.000Z,12133
DR-479-FL,FL,Okaloosa (County),12,091,DR,FLOODING,Flood,1975-08-22T04:00:00.000Z,12091
DR-479-FL,FL,Bay (County),12,005,DR,FLOODING,Flood,1975-08-22T04:00:00.000Z,12005
DR-479-FL,FL,Walton (County),12,131,DR,FLOODING,Flood,1975-08-22T04:00:00.000Z,12131
DR-479-FL,FL,Holmes (County),12,059,DR,FLOODING,Flood,1975-08-22T04:00:00.000Z,12059
DR-479-FL,FL,Gulf (County),12,045,DR,FLOODING,Flood,1975-08-22T04:00:00.000Z,12045
DR-484-FL,FL,Holmes (County),12,059,DR,"HIGH WINDS, HEAVY RAINS & FLOODING",Flood,1975-09-26T04:00:00.000Z,12059
DR-479-FL,FL,Santa Rosa (County),12,113,DR,FLOODING,Flood,1975-08-22T04:00:00.000Z,12113
DR-484-FL,FL,Washington (County),12,133,DR,"HIGH WINDS, HEAVY RAINS & FLOODING",Flood,1975-09-26T04:00:00.000Z,12133
DR-484-FL,FL,Gulf (County),12,045,DR,"HIGH WINDS, HEAVY RAINS & FLOODING",Flood,1975-09-26T04:00:00.000Z,12045
DR-484-FL,FL,Bay (County),12,005,DR,"HIGH WINDS, HEAVY RAINS & FLOODING",Flood,1975-09-26T04:00:00.000Z,12005
DR-484-FL,FL,Okaloosa (County),12,091,DR,"HIGH WINDS, HEAVY RAINS & FLOODING",Flood,1975-09-26T04:00:00.000Z,12091
DR-484-FL,FL,Walton (County),12,131,DR,"HIGH WINDS, HEAVY RAINS & FLOODING",Flood,1975-09-26T04:00:00.000Z,12131
DR-526-FL,FL,Lake (County),12,069,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12069
DR-526-FL,FL,Collier (County),12,021,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12021
DR-526-FL,FL,Broward (County),12,011,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12011
DR-526-FL,FL,St. Johns (County),12,109,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12109
DR-526-FL,FL,Glades (County),12,043,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12043
DR-526-FL,FL,St. Lucie (County),12,111,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12111
DR-526-FL,FL,Marion (County),12,083,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12083
DR-526-FL,FL,Palm Beach (County),12,099,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12099
DR-526-FL,FL,Pinellas (County),12,103,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12103
DR-526-FL,FL,Hardee (County),12,049,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12049
DR-526-FL,FL,Seminole (County),12,117,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12117
DR-526-FL,FL,Indian River (County),12,061,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12061
DR-526-FL,FL,Martin (County),12,085,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12085
DR-526-FL,FL,Sumter (County),12,119,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12119
DR-526-FL,FL,Putnam (County),12,107,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12107
DR-526-FL,FL,Dade (County),12,086,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12086
DR-526-FL,FL,Orange (County),12,095,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12095
DR-526-FL,FL,DeSoto (County),12,027,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12027
DR-526-FL,FL,Citrus (County),12,017,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12017
DR-526-FL,FL,Highlands (County),12,055,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12055
DR-526-FL,FL,Monroe (County),12,087,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12087
DR-526-FL,FL,Okeechobee (County),12,093,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12093
DR-526-FL,FL,Hillsborough (County),12,057,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12057
DR-526-FL,FL,Volusia (County),12,127,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12127
DR-526-FL,FL,Flagler (County),12,035,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12035
DR-526-FL,FL,Charlotte (County),12,015,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12015
DR-526-FL,FL,Manatee (County),12,081,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12081
DR-526-FL,FL,Lee (County),12,071,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12071
DR-526-FL,FL,Brevard (County),12,009,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12009
DR-526-FL,FL,Hendry (County),12,051,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12051
DR-526-FL,FL,Polk (County),12,105,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12105
DR-526-FL,FL,Sarasota (County),12,115,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12115
DR-526-FL,FL,Osceola (County),12,097,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12097
DR-526-FL,FL,Pasco (County),12,101,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12101
DR-526-FL,FL,Hernando (County),12,053,DR,SEVERE WINTER WEATHER,Freezing,1977-01-31T05:00:00.000Z,12053
DR-600-FL,FL,Bay (County),12,005,DR,HURRICANE FREDERIC,Hurricane,1979-09-13T04:00:00.000Z,12005
DR-732-FL,FL,Hardee (County),12,049,DR,SEVERE FREEZE,Freezing,1985-03-18T05:00:00.000Z,12049
DR-586-FL,FL,Polk (County),12,105,DR,"SEVERE STORMS, TORNADOES & FLOODING",Severe Storm(s),1979-05-15T04:00:00.000Z,12105
DR-586-FL,FL,Pinellas (County),12,103,DR,"SEVERE STORMS, TORNADOES & FLOODING",Severe Storm(s),1979-05-15T04:00:00.000Z,12103
DR-607-FL,FL,Hernando (County),12,053,DR,SEVERE STORMS & FLOODING,Flood,1979-09-29T04:00:00.000Z,12053
DR-600-FL,FL,Walton (County),12,131,DR,HURRICANE FREDERIC,Hurricane,1979-09-13T04:00:00.000Z,12131
DR-586-FL,FL,Hillsborough (County),12,057,DR,"SEVERE STORMS, TORNADOES & FLOODING",Severe Storm(s),1979-05-15T04:00:00.000Z,12057
DR-607-FL,FL,Hillsborough (County),12,057,DR,SEVERE STORMS & FLOODING,Flood,1979-09-29T04:00:00.000Z,12057
DR-664-FL,FL,DeSoto (County),12,027,DR,SEVERE STORMS AND FLOODING,Flood,1982-07-07T04:00:00.000Z,12027
DR-586-FL,FL,Volusia (County),12,127,DR,"SEVERE STORMS, TORNADOES & FLOODING",Severe Storm(s),1979-05-15T04:00:00.000Z,12127
DR-600-FL,FL,Santa Rosa (County),12,113,DR,HURRICANE FREDERIC,Hurricane,1979-09-13T04:00:00.000Z,12113
DR-600-FL,FL,Okaloosa (County),12,091,DR,HURRICANE FREDERIC,Hurricane,1979-09-13T04:00:00.000Z,12091
